"id","equity","numeroValore","ticker"
1625,"Bank of NY","911172","bigmac6"
275,"Bristol Mayer Squibb","914188US","BMY"
78,"Zürich Allied","914210CH","null15"
186,"ALSTOM","915027EU","ALS.PA"
323,"Chief Cons.Mining","918272US","CFCM.O"
367,"Cisco System","918546US","CSCO"
1561,"Mediaone Group Inc","918692","palace4"
436,"EMAK s.p.a.","918868EU","EM.MI"
83,"EMAK S.p.a.","918868IT","null37"
84,"Coca Cola Co","919390CH","KO.S"
595,"Coca Cola","919390US","KO"
334,"Colgate Common Stock","919477US","CL"
1755,"Columbia Laboratories","919756US","CBRX.O"
1594,"Compaq Corp.","920123","palace36"
357,"Compaq Computer","920123US","CPQ.N"
1716,"BENETTON GROUP SPA","922132","bianchi7"
438,"EMC Corp","926696US","EMC"
390,"Du Pont Nemours & Co","927399US","DD"
391,"E.I.Du Pont de Nemours","927401CH","DD.S"
441,"Emerson Electric Common Stock","928215","EMR"
484,"Freddie Mac","929673US","FMCC.OB"
476,"Fannie Mae","929694US","FNMA.OB"
250,"BBVA Common Stock","931474CH","BBVA.MAC"
500,"General Electric","933071US","GE"
501,"General Electric","933079CH","GE.S"
511,"GM Common Stock","933261US","GM"
1033,"Waste Managemnt Inc","933404US","WMI"
381,"Celanese AG","933566EU","CZZ.XE"
1589,"Halliburton","937414","palace31"
550,"Hewlett - Packard Co","938718US","HPQ"
1610,"JB Multibond EUR b","941109","palace50"
570,"Intel Corp","941595CH","INTC.S"
569,"Intel Corp.","941595US","INTC"
557,"IBM","941800US","IBM"
1846,"Citigroup","942676EU","942676EU"
296,"Citigroup Inc.","942676US","C"
584,"Johnson & Johnson","943981US","JNJ"
587,"Kellogg Co","944624US","K"
594,"Kimberly Clark Common Stock","945034","KMB"
1604,"JP Morgan Euroland Fund","945248","palace46"
389,"DaimlerChrysler","945657CH","DCX.S"
25,"DaimlerChrysler","945657D","null39"
388,"Daimlerchrysler","945657EU","DCX.XE"
621,"Eli Lilly & Co","947556US","LLY"
1655,"Lansdowne European Eq Fund","948042","bigmac33"
631,"Loews Corp Common Stock","948190","L.N"
1627,"MCDONALD'S Corp.","950605","bigmac8"
654,"Medtronic Inc Common Stock","950980US","MDT"
677,"Merck & Co","951138US","MRK"
680,"Microsoft Corp","951692US","MSFT"
1660,"Minnesota Mining & Manufactoring Co","952509","bigmac38"
26,"Mobil Corp","952962US","null16"
18,"Mobil Corp","952963CH","null17"
19,"Monsanto","953310US","null18"
122,"NTT Do Co Mo","953823JP","9437.T"
424,"EBAY","956191US","EBAY"
696,"Newmont Mining Common Stock","956952US","NEM"
702,"Nike Inc Common Stock","957150","NKE"
711,"Norfolk Southern Common Stock","957370","NSC"
708,"Novell Inc Common Stock","958085US","NOVL"
742,"Occidental Common Stock","958611","OXY"
739,"Oracle Corp Common Stock","959184US","ORCL"
1566,"PAGING NETWORK INC.","960232","palace9"
760,"Pfizer","962004US","PFE"
786,"Pharmaceutical Res.","962028US","PRX.N"
761,"Procter & Gamble Common Stock","963896US","PG"
898,"SANPAOLO IMI SPA","964338EU","SPI.MI"
1614,"QUALCOMM INC","964930","palace54"
1562,"Sara Lee Corp","968372","palace5"
1612,"Sprint Corp","970241","palace52"
1712,"SOUTHMARK CORP","971811","bianchi3"
1713,"SOUTHMARK CORP -A-","971812","bianchi4"
915,"Sun Microsystem","974846US","JAVA"
