"INDEX","Convertible Bonds Arbitrage","CTA Long Term","CTA Short Term","Event Driven - Distressed","Event Driven - Merger Arbitrage","Event Driven - Special Situations","Fixed Income Arbitrage","Global Macro","L/S Credit Arbitrage","L/S Equity - Long Bias","L/S Equity - Market Neutral","L/S Equity - Short Bias","L/S Equity - Variable Bias","Statistical Arbitrage","COMPOSITE","Emerging Markets","Top 10","Credit Strategies"
07/05/2005,1112.06667602742,1483.75811001767,1055.97562249046,1044.56437695737,1178.9236772995,1382.16765633234,1151.68659527319,1090.12111984654,1063.15122993132,1238.98681302493,1180.78740459874,842.435731327319,1280.361668804,1164.95268544232,1233.55307119819,1006.75120735795,1258.22547484415,1238.23341037077
07/12/2005,1116.61193201878,1459.46572632465,1047.24223496587,1046.61140965241,1186.27206701187,1402.7737728422,1152.82404899498,1095.77757649545,1071.91014464048,1252.93183568146,1182.8229039142,829.995896649134,1289.49897687204,1161.42490603599,1241.18242821101,1010.88063136474,1275.85445532369,1242.41637309495
07/19/2005,1119.01529623166,1479.47253714428,1060.66560177292,1034.69470912841,1189.07613828933,1407.85563112218,1153.3230134557,1091.99709585277,1072.23477562992,1255.74724439341,1185.75177164732,821.225924564622,1291.96335959584,1156.42623617051,1244.37140758162,1013.3939897456,1281.1331900163,1243.207448538
07/26/2005,1120.93445387313,1480.52913284881,1048.6243490415,1036.81815349523,1188.65560399671,1415.03453815774,1158.93298660546,1091.97310924715,1069.1362355308,1254.27579182015,1187.00415712797,824.438515519008,1296.39550104004,1157.6427445682,1247.16670305387,1013.77441569175,1285.72126217523,1246.4106617542
08/02/2005,1119.95073985451,1475.98037737234,1052.06703700153,1036.45453802066,1192.31679720311,1428.84256812937,1161.83952563712,1102.8899308086,1082.00635422158,1270.35540758186,1192.2684322345,815.516830150999,1311.40420426899,1164.73960299631,1256.82236072696,1019.75199911029,1296.68224961711,1250.62439539245
08/09/2005,1125.25264208892,1463.8391195697,1059.77179885691,1035.72808250551,1195.56284229814,1427.37052923191,1166.23882203018,1099.84180251725,1082.56306680502,1267.06507602034,1185.82666199854,829.882818424002,1314.22985956018,1166.6771717564,1256.53025028216,1018.31899085528,1296.45729879249,1255.36226649528
08/16/2005,1125.5798310696,1478.31026862753,1061.18245540022,1031.26590683114,1196.47544753315,1430.58092077957,1165.91582281479,1103.57668400035,1080.1530017481,1265.8312727666,1187.667010574,837.013512263211,1315.27459607772,1165.46235254714,1258.43363589395,1018.82331245505,1298.16284072653,1256.04587803096
08/23/2005,1125.42381635913,1466.66782621351,1057.43971538591,1032.82321971192,1194.61493524753,1432.06304549107,1166.37172518113,1097.70388710945,1075.45431890281,1261.41566610184,1185.12689642316,837.839374979432,1315.08213416727,1161.3663613681,1256.67349156455,1015.18094735884,1298.43329052959,1254.87099278456
08/30/2005,1127.93126713109,1500.32197463696,1057.91152543983,1036.37671039047,1192.94965350726,1435.39694860287,1161.64805362217,1091.44936156513,1073.12177019756,1256.88176353071,1188.10935160362,840.625645545968,1313.23535590825,1160.68184377086,1257.9313651516,1010.37976220865,1298.95651889239,1252.43576132247
09/06/2005,1130.06985259851,1497.80077757958,1066.54480176013,1037.55088364715,1195.27904487662,1443.46952943053,1165.75706358399,1100.00161759463,1087.1027305816,1271.44747926388,1190.85947207096,826.19997028904,1325.19688052853,1169.41810789068,1265.70737065122,1016.89163171172,1306.02214194253,1257.3044607897
