Name,BOFA ML EMU CORP. (E) - RED. YIELD,BOFA ML US CORP BBB-A ($) - RED. YIELD,ITRAXX CROSSOVER 5YR (EOD) SR15 - CDS PREM. BID,BOFA ML EUROPEAN CUR HY (E) - RED. YIELD,BOFA ML US HY MASTER II ($) - RED. YIELD,JPM EMBI+ COMPOSITE - BLENDED YIELD MAT
7/21/2004,3.99,5.01,,7.448,8.07,8.954
7/28/2004,4.02,5.09,,7.524,8.23,9.076
8/4/2004,3.92,5,,7.459,8.21,8.884
8/11/2004,3.82,4.86,,7.439,8.16,8.707
8/18/2004,3.79,4.78,,7.39,8.09,8.519
8/25/2004,3.79,4.8,,7.318,8,8.423
9/1/2004,3.74,4.69,,7.298,7.98,8.331
9/8/2004,3.87,4.72,,7.243,7.93,8.284
9/15/2004,3.79,4.71,,7.153,7.83,8.238
9/22/2004,3.73,4.58,,7.069,7.77,8.021
9/29/2004,3.72,4.68,,7.119,7.82,8.173
10/6/2004,3.74,4.79,,7.128,7.85,8.117
10/13/2004,3.65,4.64,,7.076,7.78,7.994
10/20/2004,3.61,4.6,,7.152,7.78,8.092
10/27/2004,3.59,4.67,,7.072,7.67,8.073
11/3/2004,3.66,4.65,,6.908,7.53,7.952
11/10/2004,3.63,4.83,,6.781,7.55,8.062
11/17/2004,3.55,4.73,,6.681,7.47,7.865
11/24/2004,3.51,4.8,,6.607,7.43,7.846
12/1/2004,3.49,4.93,,6.595,7.51,7.966
12/8/2004,3.39,4.72,,6.508,7.4,7.804
12/15/2004,3.34,4.68,,6.481,7.31,7.663
12/22/2004,3.45,4.77,,6.447,7.31,7.653
12/29/2004,3.5,4.87,,6.423,7.33,7.701
1/5/2005,3.51,4.94,,6.494,7.45,7.872
1/12/2005,3.44,4.92,,6.543,7.55,7.822
1/19/2005,3.38,4.9,,6.525,7.57,7.881
1/26/2005,3.39,4.9,,6.469,7.59,7.721
2/2/2005,3.38,4.88,,6.512,7.54,7.712
2/9/2005,3.33,4.74,,6.394,7.44,7.48
2/16/2005,3.36,4.9,,6.285,7.4,7.582
2/23/2005,3.45,4.97,,6.368,7.41,7.66
3/2/2005,3.52,5.08,,6.332,7.49,7.683
3/9/2005,3.48,5.2,,6.26,7.48,7.7
3/16/2005,3.5,5.26,,6.439,7.64,8.026
3/23/2005,3.62,5.42,,6.714,7.96,8.3
3/30/2005,3.57,5.42,,6.748,8.08,8.255
4/6/2005,3.52,5.33,,7.034,8.05,8.083
4/13/2005,3.49,5.32,,6.972,8.1,7.972
4/20/2005,3.47,5.22,,7.238,8.25,8.053
4/27/2005,3.42,5.24,,7.191,8.38,7.987
5/4/2005,3.4,5.23,,7.328,8.41,7.87
5/11/2005,3.39,5.31,,7.52,8.53,7.942
5/18/2005,3.41,5.24,,7.868,8.7,7.883
5/25/2005,3.32,5.21,,7.448,8.36,7.726
6/1/2005,3.16,4.93,,7.577,8.2,7.563
6/8/2005,3.06,4.96,,7.167,8.13,7.628
6/15/2005,3.16,5.11,,7.012,8.08,7.241
6/22/2005,3.04,4.97,,7.015,8.06,7.08
6/29/2005,3.05,5.01,,7.053,8.04,7.082
7/6/2005,3.15,5.11,,6.935,8.07,7.078
7/13/2005,3.17,5.16,,6.825,7.96,7.03
7/20/2005,3.2,5.14,,6.721,7.91,7.062
7/27/2005,3.15,5.22,,6.684,7.87,7.138
8/3/2005,3.26,5.25,,6.628,7.9,7.094
8/10/2005,3.29,5.35,,6.73,7.99,7.107
8/17/2005,3.17,5.25,,6.688,7.95,7.099
8/24/2005,3.14,5.16,,6.589,7.89,7.121
8/31/2005,3.09,5.01,,6.634,7.98,6.958
9/7/2005,3.07,5.11,,6.637,8.02,6.942
9/14/2005,3.08,5.13,,6.581,8,6.87
9/21/2005,3.04,5.18,,6.649,8.19,6.789
9/28/2005,3.16,5.27,,6.682,8.24,6.801
10/5/2005,3.21,5.38,,6.693,8.16,6.9
10/12/2005,3.28,5.48,,6.956,8.4,7.15
10/19/2005,3.3,5.48,,6.736,8.31,7.136
10/26/2005,3.41,5.62,,6.685,8.33,7.152
11/2/2005,3.53,5.67,,6.964,8.4,7.095
11/9/2005,3.62,5.71,,6.956,8.42,7.11
11/16/2005,3.53,5.62,,7.18,8.51,6.97
11/23/2005,3.59,5.6,,7.235,8.46,6.866
11/30/2005,3.59,5.65,,7.366,8.5,6.986
12/7/2005,3.55,5.68,,7.405,8.5,6.946
12/14/2005,3.57,5.61,,7.231,8.45,6.879
12/21/2005,3.63,5.66,,7.249,8.43,6.905
12/28/2005,3.58,5.56,,7.29,8.42,6.782
1/4/2006,3.5,5.44,,7.457,8.36,6.699
1/11/2006,3.54,5.55,,7.107,8.26,6.725
1/18/2006,3.52,5.43,,7.203,8.31,6.69
1/25/2006,3.65,5.55,,7.094,8.25,6.659
2/1/2006,3.74,5.64,,6.998,8.23,6.699
2/8/2006,3.72,5.67,,7.2,8.3,6.675
2/15/2006,3.71,5.7,,7.154,8.28,6.583
2/22/2006,3.67,5.63,,7.067,8.23,6.533
3/1/2006,3.77,5.68,,7.129,8.31,6.453
3/8/2006,3.9,5.8,,7.133,8.39,6.757
3/15/2006,3.94,5.77,,7.054,8.33,6.674
3/22/2006,3.92,5.76,,6.967,8.24,6.688
3/29/2006,4.02,5.87,,6.991,8.29,6.791
4/5/2006,4.11,5.89,,6.989,8.27,6.844
4/12/2006,4.11,6.01,,7.062,8.32,6.984
4/19/2006,4.16,6.02,,7.002,8.32,6.919
4/26/2006,4.22,6.09,,6.957,8.32,6.953
5/3/2006,4.23,6.09,,6.985,8.29,6.934
5/10/2006,4.22,6.09,,6.992,8.25,6.928
5/17/2006,4.22,6.13,,6.985,8.37,7.218
5/24/2006,4.1,6.06,,7.108,8.42,7.333
